x,y,class
2.006657947699748,3.9249526023878785,0
2.414782771154811,3.3290946512252315,0
2.2624991646344776,3.041253803235351,0
2.1830382677892164,3.562800849837741,0
2.2147576302679783,3.4742040114029904,0
2.9897873101583823,3.308344715274643,0
2.568913202588049,3.2434833106574503,0
2.0078305614112364,3.0329485338311333,0
2.955076024009506,3.0550145414957615,0
2.342467674817306,3.957110596099319,0
2.4549966812248885,3.355056471524967,0
2.24518063905014,3.8659580178363195,0
2.3686205894453867,3.5717513330163224,0
2.314124561453915,3.4358268954725277,0
2.3145998980707656,3.733744890358671,0
2.873940247511997,3.267162608338639,0
2.814889689800091,3.180833231323207,0
2.9257169059025943,3.8785708244986536,0
2.1737114105442936,3.33174020783578,0
2.875627108414845,3.666984537189446,0
0.938031430442335,0.47337639541792187,1
0.3651918899999662,0.7263030454393006,1
0.313846383534229,0.7551524893464405,1
0.42947266837215103,0.44954396246047945,1
0.7809264742303678,0.7531045266580364,1
0.9609072153843518,0.6023043404514116,1
0.6213688303502095,0.8831478820571905,1
0.48560230619324674,0.3877510552594312,1
0.10151957291869307,0.30960574258902607,1
0.45596685215183597,0.6579877724941052,1
0.16079459065889912,0.13352877445096967,1
0.35819308494178426,0.36882020839302443,1
0.6065767848136763,0.35672150522427126,1
0.17999340380333373,0.2387182617844983,1
0.5369459406864308,0.806751819180745,1
0.23938906764551615,0.8093467014238761,1
0.9910579793942381,0.7396655737443772,1
0.1993519016079216,0.5641634067829804,1
0.23034735386877625,0.7134314493853171,1
0.016446076438116353,0.5361804518504029,1
